id;url;latitude;longitude;condition;price;area_sqm;floor;total_floors;rooms;build_year
1642156;https://www.kv.ee/1642156;59.4531783;24.8620844;San. remont tehtud;595.0;68.0;6.0;9.0;3.0;1990.0
1743096;https://www.kv.ee/1743096;59.4449955;24.735945;Renoveeritud;365.0;40.0;;;1.0;
1748509;https://www.kv.ee/1748509;59.437022009249;24.748502184131;;1100.0;110.4;3.0;3.0;3.0;
1913594;https://www.kv.ee/1913594;59.435516111117;24.775289392049;San. remont tehtud;220.0;15.0;2.0;3.0;1.0;
1965844;https://www.kv.ee/1965844;59.434854;24.7312251;Renoveeritud;850.0;75.0;2.0;4.0;3.0;1911.0
2179547;https://www.kv.ee/2179547;59.3998628;24.6616069;Heas korras;330.0;16.0;2.0;5.0;1.0;
2255554;https://www.kv.ee/2255554;59.3820725;24.7007609;Renoveeritud;600.0;88.0;1.0;2.0;3.0;1933.0
2353618;https://www.kv.ee/2353618;59.4360137;24.7766783;San. remont tehtud;209.0;32.0;;;1.0;
2393834;https://www.kv.ee/2393834;59.4844929;24.89036;Keskmine;530.0;65.4;2.0;9.0;3.0;
2455355;https://www.kv.ee/2455355;59.4366134;24.76726;Heas korras;1111.0;65.4;3.0;4.0;3.0;2015.0
2619108;https://www.kv.ee/2619108;59.42511409999999;24.7348945;Heas korras;450.0;28.0;2.0;8.0;1.0;2007.0
2757595;https://www.kv.ee/2757595;59.4350595;24.7598053;Renoveeritud;450.0;30.0;5.0;5.0;1.0;1971.0
2758468;https://www.kv.ee/2758468;59.428773;24.7678245;Renoveeritud;480.0;47.9;2.0;4.0;3.0;
2772106;https://www.kv.ee/2772106;59.42483467883153;24.735886947666643;Heas korras;590.0;41.0;5.0;8.0;2.0;
2780559;https://www.kv.ee/2780559;59.424737256889095;24.70304871324464;Heas korras;400.0;29.7;1.0;9.0;2.0;
2796322;https://www.kv.ee/2796322;59.4311655;24.7898318;Heas korras;480.0;50.7;5.0;5.0;3.0;
2822436;https://www.kv.ee/2822436;59.4284021;24.7667053;Renoveeritud;600.0;70.0;1.0;6.0;3.0;1980.0
2824240;https://www.kv.ee/2824240;59.4013646;24.6766144000001;Heas korras;500.0;47.5;3.0;5.0;2.0;1965.0
2830743;https://www.kv.ee/2830743;59.4386714;24.7589989000001;Heas korras;1200.0;118.1;2.0;8.0;4.0;2007.0
2853402;https://www.kv.ee/2853402;59.4291302;24.6988886;Renoveeritud;300.0;16.0;5.0;5.0;1.0;
2892633;https://www.kv.ee/2892633;59.4267699;24.788039;Heas korras;490.0;22.0;3.0;5.0;1.0;
2899748;https://www.kv.ee/2899748;59.4138558;24.7407205;Renoveeritud;547.0;32.0;1.0;4.0;2.0;
2908303;https://www.kv.ee/2908303;59.436024355875055;24.770067045176653;Heas korras;800.0;52.5;6.0;7.0;2.0;2008.0
2909489;https://www.kv.ee/2909489;59.4531752;24.7142848999999;Renoveeritud;527.0;39.2;4.0;4.0;2.0;
2916077;https://www.kv.ee/2916077;59.44597928757005;24.88129438203128;Renoveeritud;390.0;34.0;4.0;5.0;1.0;
2919552;https://www.kv.ee/2919552;59.4407318;24.7468124;Uus;1200.0;59.0;1.0;6.0;2.0;
2920470;https://www.kv.ee/2920470;59.4180787000011;24.7423893153442;Renoveeritud;320.0;14.0;;;1.0;
2936477;https://www.kv.ee/2936477;59.4313073;24.7503491;Renoveeritud;650.0;67.1;3.0;5.0;3.0;
2944533;https://www.kv.ee/2944533;59.4057262;24.6929124;Uus;200.0;10.0;2.0;5.0;1.0;1970.0
2951198;https://www.kv.ee/2951198;59.4276937;24.7449132;Renoveeritud;450.0;40.0;3.0;4.0;2.0;
2954746;https://www.kv.ee/2954746;59.4327351;24.7917026;Keskmine;450.0;39.7;5.0;5.0;2.0;
2985615;https://www.kv.ee/2985615;59.4337628564766;24.76163236424379;Renoveeritud;490.0;40.4;4.0;5.0;2.0;
2986284;https://www.kv.ee/2986284;59.4180062;24.7384667;Heas korras;550.0;34.0;3.0;8.0;1.0;2014.0
2997655;https://www.kv.ee/2997655;59.4374101;24.7709041;Heas korras;800.0;104.0;2.0;3.0;5.0;
3005445;https://www.kv.ee/3005445;59.4295894;24.7727172;Uus;745.0;42.0;6.0;8.0;2.0;2017.0
3008114;https://www.kv.ee/3008114;59.4393804683895;24.7578362650818;Uus;1750.0;85.7;2.0;7.0;3.0;2017.0
3014023;https://www.kv.ee/3014023;59.4471238;24.8590948;Heas korras;600.0;41.7;5.0;12.0;2.0;2018.0
3033276;https://www.kv.ee/3033276;59.407985747768215;24.710247976196705;Renoveeritud;315.0;13.0;2.0;2.0;1.0;1996.0
3041802;https://www.kv.ee/3041802;59.4458682432178;24.708177299088767;Uus;680.0;46.3;2.0;2.0;2.0;
3047237;https://www.kv.ee/3047237;59.4084268;24.6825302;Heas korras;500.0;43.6;1.0;5.0;2.0;
3049322;https://www.kv.ee/3049322;59.4347778;24.8172492;;500.0;43.6;2.0;5.0;2.0;
3070187;https://www.kv.ee/3070187;59.4410854;24.7498488;Uus;990.0;50.0;1.0;2.0;2.0;2016.0
3079121;https://www.kv.ee/3079121;59.4426098;24.7274964000001;Renoveeritud;430.0;43.0;;;2.0;1920.0
3083975;https://www.kv.ee/3083975;59.4436986;24.7058848;Heas korras;400.0;39.5;3.0;4.0;2.0;1962.0
3093696;https://www.kv.ee/3093696;59.4431416;24.7024444;Keskmine;470.0;49.0;4.0;5.0;2.0;1966.0
3098934;https://www.kv.ee/3098934;59.4372667;24.7110029;Renoveeritud;290.0;16.0;2.0;5.0;1.0;
3107346;https://www.kv.ee/3107346;59.3998628;24.6616069;Renoveeritud;340.0;16.0;4.0;5.0;1.0;
3108073;https://www.kv.ee/3108073;59.4409168;24.8095492;Heas korras;590.0;51.2;2.0;5.0;2.0;2004.0
3121263;https://www.kv.ee/3121263;59.4416264;24.8458088;Renoveeritud;425.0;32.8;7.0;9.0;1.0;1981.0
3137112;https://www.kv.ee/3137112;59.3867795;24.6869583;Heas korras;570.0;42.0;1.0;4.0;2.0;
3140187;https://www.kv.ee/3140187;59.4357335;24.7688445;Uus;1290.0;114.4;1.0;5.0;4.0;1912.0
3146342;https://www.kv.ee/3146342;59.4068538;24.7116227;Uus;800.0;46.3;3.0;4.0;2.0;2019.0
3150428;https://www.kv.ee/3150428;59.4062229;24.676323;Renoveeritud;260.0;12.0;4.0;5.0;1.0;
3150586;https://www.kv.ee/3150586;59.4341945;24.7738786;Heas korras;1450.0;100.8;5.0;7.0;3.0;2007.0
3154599;https://www.kv.ee/3154599;59.430029400957885;24.772763503069022;Uus;1290.0;97.8;4.0;6.0;3.0;2015.0
3155320;https://www.kv.ee/3155320;59.420892;24.6934992;Heas korras;359.0;16.0;4.0;8.0;1.0;2019.0
3157155;https://www.kv.ee/3157155;59.4054533;24.6722572;Renoveeritud;490.0;47.0;2.0;5.0;2.0;
3163397;https://www.kv.ee/3163397;59.4418454;24.7322719;Renoveeritud;700.0;80.0;3.0;3.0;2.0;2008.0
3165350;https://www.kv.ee/3165350;59.4367771;24.7624367;Renoveeritud;499.0;37.0;1.0;5.0;1.0;
3175569;https://www.kv.ee/3175569;59.4485166;24.700705;Heas korras;799.0;54.7;5.0;7.0;3.0;2019.0
